ASV	BL.20130417.18SV4.022.3.SRF	BL.20130417.18SV4.3.200.SRF	BL.20130507.18SV4.022.3.SRF	BL.20130507.18SV4.3.200.SRF	BL.20130604.18SV4.022.3.SRF	BL.20130604.18SV4.3.200.SRF	BL.20130709.18SV4.022.3.SRF	BL.20130709.18SV4.3.200.SRF	BL.20130801.18SV4.022.3.SRF	BL.20130801.18SV4.3.200.SRF	BL.20130917.18SV4.022.3.SRF	BL.20130917.18SV4.3.200.SRF	BL.20131015.18SV4.022.3.SRF	BL.20131015.18SV4.3.200.SRF	BL.20131105.18SV4.022.3.SRF	BL.20131204.18SV4.022.3.SRF	BL.20140114.18SV4.022.3.SRF	BL.20140114.18SV4.3.200.SRF	BL.20140211.18SV4.022.3.SRF	BL.20140211.18SV4.3.200.SRF	BL.20140310.18SV4.022.3.SRF	BL.20140310.18SV4.3.200.SRF	BL.20140407.18SV4.3.200.SRF	BL.20140505.18SV4.3.200.SRF	BL.20140602.18SV4.3.200.SRF	BL.20140621.18SV4.3.200.SRF	BL.20140707.18SV4.3.200.SRF	BL.20140804.18SV4.3.200.SRF	BL.20140916.18SV4.3.200.SRF	BL.20141007.18SV4.022.3.SRF	BL.20141007.18SV4.3.200.SRF	BL.20141111.18SV4.022.3.SRF	BL.20141111.18SV4.3.200.SRF	BL.20141216.18SV4.022.3.SRF	BL.20141216.18SV4.3.200.SRF	BL.20150113.18SV4.022.3.SRF	BL.20150113.18SV4.3.200.SRF	BL.20150210.18SV4.022.3.SRF	BL.20150210.18SV4.3.200.SRF	BL.20150310.18SV4.022.3.SRF	BL.20150310.18SV4.3.200.SRF	BL.20150415.18SV4.3.200.SRF	BL.20150512.18SV4.022.3.SRF	BL.20150512.18SV4.3.200.SRF	BL.20150609.18SV4.022.3.SRF	BL.20150609.18SV4.3.200.SRF	BL.20150622.18SV4.022.3.SRF	BL.20150622.18SV4.3.200.SRF	BL.20150707.18SV4.022.3.SRF	BL.20150707.18SV4.3.200.SRF	BL.20150804.18SV4.022.3.SRF	BL.20150804.18SV4.3.200.SRF	BL.20150916.18SV4.022.3.SRF	BL.20150916.18SV4.3.200.SRF	BL.20151006.18SV4.022.3.SRF	BL.20151006.18SV4.3.200.SRF	BL.20151110.18SV4.022.3.SRF	BL.20151110.18SV4.3.200.SRF	BL.20151215.18SV4.022.3.SRF	BL.20151215.18SV4.3.200.SRF	BL.20160119.18SV4.022.3.SRF	BL.20160119.18SV4.3.200.SRF	BL.20160210.18SV4.022.3.SRF	BL.20160210.18SV4.3.200.SRF	BL.20160308.18SV4.022.3.SRF	BL.20160308.18SV4.3.200.SRF	BL.20160405.18SV4.022.3.SRF	BL.20160405.18SV4.3.200.SRF	BL.20160504.18SV4.022.3.SRF	BL.20160504.18SV4.3.200.SRF	BL.20160607.18SV4.022.3.SRF	BL.20160607.18SV4.3.200.SRF	EA.20130423.18SV4.022.3.SRF	EA.20130423.18SV4.3.200.SRF	EA.20130604.18SV4.022.3.SRF	EA.20130604.18SV4.3.200.SRF	EA.20130625.18SV4.022.3.SRF	EA.20130625.18SV4.3.200.SRF	EA.20130827.18SV4.022.3.SRF	EA.20131127.18SV4.022.3.SRF	EA.20131127.18SV4.3.200.SRF	EA.20131230.18SV4.022.3.SRF	EA.20131230.18SV4.3.200.SRF	EA.20140211.18SV4.022.3.SRF	EA.20140211.18SV4.3.200.SRF	EA.20140326.18SV4.3.200.SRF	EA.20140415.18SV4.022.3.SRF	EA.20140415.18SV4.3.200.SRF	EA.20140514.18SV4.022.3.SRF	EA.20140514.18SV4.3.200.SRF	EA.20140707.18SV4.3.200.SRF	EA.20140729.18SV4.022.3.SRF	EA.20140826.18SV4.022.3.SRF	EA.20140826.18SV4.3.200.SRF	EA.20140930.18SV4.022.3.SRF	EA.20140930.18SV4.3.200.SRF	EA.20141029.18SV4.022.3.SRF	EA.20141029.18SV4.3.200.SRF	EA.20141125.18SV4.022.3.SRF	EA.20141125.18SV4.3.200.SRF	EA.20150115.18SV4.022.3.SRF	EA.20150115.18SV4.3.200.SRF	EA.20150227.18SV4.022.3.SRF	EA.20150227.18SV4.3.200.SRF	EA.20150328.18SV4.022.3.SRF	EA.20150328.18SV4.3.200.SRF	EA.20150425.18SV4.022.3.SRF	EA.20150425.18SV4.3.200.SRF	EA.20150516.18SV4.022.3.SRF	EA.20150516.18SV4.3.200.SRF	EA.20150627.18SV4.022.3.SRF	EA.20150627.18SV4.3.200.SRF	EA.20150801.18SV4.022.3.SRF	EA.20150801.18SV4.3.200.SRF	EA.20150829.18SV4.022.3.SRF	EA.20150829.18SV4.3.200.SRF	EA.20151006.18SV4.022.3.SRF	EA.20151006.18SV4.3.200.SRF	EA.20151208.18SV4.022.3.SRF	EA.20151208.18SV4.3.200.SRF	EA.20160225.18SV4.022.3.SRF	EA.20160225.18SV4.3.200.SRF	EA.20160322.18SV4.022.3.SRF	EA.20160322.18SV4.3.200.SRF	EA.20160502.18SV4.022.3.SRF	EA.20160502.18SV4.3.200.SRF	EA.20160611.18SV4.022.3.SRF	EA.20160611.18SV4.3.200.SRF	EA.20160822.18SV4.022.3.SRF	EA.20160822.18SV4.3.200.SRF
OTU_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	12	0	84	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	1421	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	14	0	46	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	9584	406	10314	0	80	0	552	37669	16	2982	0	0	0	133	22853	0	1209	18968	62	462	0	0	0	2477	3065	711	0	0	1394	762	2029	30	514	2045	578	945	156	13	35	0	0	7155	9638	4354	5724	2298	9484	0	0	4409	2686	0	0	0	0	545	1593
OTU_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	5751	228	384	22	270	7899	144	234	31	505	0	0	0	89	82	117	4589	3199	1255	748	1281	0	0	262	0	0	0	5	709	433	1373	2899	55907	82	170	59	12	1026	7032	135	297	79	474	228	886	0	0	2467	8979	3974	7819	1215	9053	0	140	88	15568
OTU_22	0	0	0	0	0	0	0	0	0	0	2753	16	0	0	415	1240	764	167	871	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	650	0	360	82	0	0	0	155	0	0	0	537	0	53	0	149	0	3646	599	773	0	385	79	279	0	0	0	0	0	0	0	0	0	0	0	131	29	3818	47	25340	2761	12251	1149	204	56	0	665	0	0	4753	77	24710	458	0	896	3195	0	547	152	161	0	29	0	0	0	0	0	1845	0	685	0	241	0	5097	565	2251	1599	1175	395	408	238	28	0	840	96	274	0	6507	2030	18207	599	5770	791
OTU_23	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	154	2840	47	12104	2346	19437	7830	1587	168	172	1443	45	0	19000	700	13926	1206	0	288	2206	0	2304	937	1512	52	1164	0	0	0	2157	52	8427	34	2989	105	1746	91	1613	220	2503	2219	1120	527	1333	824	94	0	6426	1644	1058	117	4468	1938	52	40	3253	736
OTU_24	993	0	3093	0	64	0	0	0	0	0	109	0	36	0	0	540	11390	2907	3469	2575	3404	497	365	0	0	0	0	544	0	0	51	2245	1600	4628	5059	1422	1008	4764	0	18420	4991	0	0	0	36	0	0	0	2637	267	1907	324	378	0	2967	942	1674	243	1440	264	1585	453	5606	887	0	0	0	0	0	0	0	0	1202	61	408	15	839	182	10469	1679	1746	109	181	168	0	0	152	14	0	0	0	280	2807	0	1682	1071	3237	436	1283	601	0	0	1423	292	1505	0	302	0	182	0	95	0	1291	1474	1030	474	566	193	45	55	21	15	18	0	114	67	0	0	1802	280
OTU_26	311	27	0	0	6236	39	12759	1619	11674	120	1540	126	4348	136	2161	0	329	0	0	0	0	163	0	3242	1738	3324	554	822	1122	4949	1969	415	307	0	0	0	0	0	581	196	602	4404	11397	1392	674	0	6596	599	1056	473	3920	960	1218	293	126	0	117	0	0	0	0	0	207	305	10058	3115	5750	1181	13015	835	1836	51	0	0	195	0	143	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28	12632	240	10569	52	466	0	309	24	0	0	91	0	5	13	172	1222	931	1171	3013	2556	2091	2730	1286	0	421	2163	0	0	0	0	245	463	1818	514	415	156	1068	1173	1050	1462	1021	0	0	0	0	0	0	0	85	70	156	454	324	176	798	345	1718	588	1681	1076	3375	2138	1656	1295	3576	369	0	28	0	0	458	0	2486	545	795	51	4653	5013	8748	1468	2611	69	182	83	0	0	1980	392	1330	1475	0	437	278	0	1248	665	1389	135	208	181	0	0	331	0	595	0	606	0	254	0	634	153	2596	2276	624	440	864	462	31	0	357	351	242	78	967	611	1919	192	1621	734
OTU_29	2044	25	295	0	0	0	0	0	0	0	14	0	0	0	19	482	2047	1782	757	1429	594	408	573	0	0	0	0	0	0	424	132	1133	1438	149	206	0	479	79	0	0	0	0	0	0	0	0	0	0	307	183	203	172	94	0	355	172	762	291	698	226	660	541	55	19	0	15	0	0	0	0	0	0	8090	983	1202	59	11654	5495	14930	6725	5411	588	2488	646	0	0	4404	493	3543	697	47	1135	1011	0	897	444	1432	21	1113	108	0	690	88	0	673	0	992	321	542	86	1144	420	5784	5975	1978	1163	1492	1097	87	0	456	377	401	173	1345	1013	998	129	3016	940
OTU_30	0	0	0	0	0	0	0	0	0	0	172	0	127	0	0	0	0	65	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	1355	27	56	9	0	0	0	0	0	0	0	0	0	0	0	33	38	0	31	9	0	123	0	0	0	484	13242	4786	918	524	5945	0	0	24517	10429	1681	2543	0	765	0	0	65	68	0	0	3769	15391	4929	996	984	2526	274	173	197	75	508	59	13	159	0	279	0	0	4278	7401	565	2760	0	0	0	0	0	0	0	0	318	5364
OTU_32	0	0	0	0	0	0	0	0	0	0	0	0	0	7	234	0	0	0	0	0	0	131	0	0	0	0	0	0	128	0	209	0	80	179	54	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	6150	6563	1530	548	824	903	55	39800	25962	2791	4934	8000	0	92	2294	1364	0	53	0	0	251	0	340	156	1945	186	727	326	1091	0	766	1534	585	103	689	6	608	234	239	373	0	30	57	273	516	187	423	521	252	262	56	47	0	0	0	0	0	85
OTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11836	1240	1538	21	4876	1378	31852	22722	5938	618	571	610	0	0	2329	172	0	31	59	741	2026	129	20	0	634	470	1652	1598	0	772	633	273	444	0	666	378	442	83	151	389	233	539	726	1568	1449	1915	2509	629	90	31	76	18	291	339	22	0	325	321
OTU_34	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	95	0	647	0	0	0	0	66	490	0	0	0	0	31	0	18	0	77	0	20	0	39	72	98	226	805	0	30	0	0	0	0	0	0	0	0	630	1886	392	676	4508	18033	9139	2105	8647	340	2190	447	0	0	974	3230	854	1784	99	5753	2064	277	798	633	1653	511	475	40	0	0	278	97	449	0	257	0	945	0	1542	151	4728	1715	1389	2607	944	3900	43	0	690	369	449	2650	3134	560	1511	332	662	446
OTU_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	1571	162	2908	1136	324	216	20	61	71	179	5139	13	1310	337	5056	738	8436	369	125	318	53	0	106	5868	0	1701	399	0	29	69	643	20481	323	13935	600	4678	1502	2003	261	613	52	234	112	158	27	109	449	562	392	599	4075	6474	1497	1098	130	288
OTU_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	226	970	79	19	15	24	1924	724	622	373	1169	13949	2020	1048	253	0	22	0	51	62	613	0	28	352	16946	477	10787	14362	8939	365	239	171	1600	171	6495	514	4756	0	44	17	15	0	136	36	113	525	3422	0	90	30	84	52	115	645	1775	44	308
OTU_39	0	0	91	0	2002	0	2668	0	2789	0	758	383	21	374	338	137	0	136	0	0	0	0	0	135	222	0	292	2056	3662	0	655	0	287	0	179	0	188	0	0	0	0	0	0	0	0	641	191	441	251	409	610	572	135	1327	287	488	186	457	283	230	0	325	0	0	735	63	139	0	1057	222	3765	1522	5296	4400	3433	855	316	1197	2731	1765	3959	684	3564	3615	62	0	6032	4682	359	508	99	584	343	0	418	516	457	0	447	629	0	0	210	1482	349	0	862	419	458	0	106	225	82	97	314	274	631	702	1719	1002	441	210	349	967	226	0	1029	376	107	427
OTU_40	0	0	0	0	0	0	0	161	0	235	0	0	0	112	0	0	0	616	0	72	0	0	0	1231	0	0	0	0	949	0	0	0	67	0	115	0	118	0	0	0	0	0	0	0	0	539	87	1629	0	1636	0	1223	218	0	0	179	36	738	0	233	0	0	0	0	0	0	0	6373	146	72400	0	1280	0	14	49	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	10497	413	14425	12	789	0	3059	13	16450	7	1459	0	193	11	297	1054	334	904	962	636	1035	4512	342	0	61	941	0	1415	209	460	114	1273	2144	694	1072	368	928	77	580	449	864	0	157	0	0	0	1716	26	677	386	555	905	0	16	425	290	1081	602	1077	638	917	895	768	2190	1377	191	686	0	331	51	3883	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
